[2025-11-27T07:00:08.012+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-27T07:00:08.044+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_weather_dag.get_outlets scheduled__2025-11-27T06:00:00+00:00 [queued]>
[2025-11-27T07:00:08.054+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_weather_dag.get_outlets scheduled__2025-11-27T06:00:00+00:00 [queued]>
[2025-11-27T07:00:08.055+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2025-11-27T07:00:08.077+0000] {taskinstance.py:2888} INFO - Executing <Task(_PythonDecoratedOperator): get_outlets> on 2025-11-27 06:00:00+00:00
[2025-11-27T07:00:08.116+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=14536) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-11-27T07:00:08.118+0000] {standard_task_runner.py:72} INFO - Started process 14538 to run task
[2025-11-27T07:00:08.116+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'fetch_weather_dag', 'get_outlets', 'scheduled__2025-11-27T06:00:00+00:00', '--job-id', '56', '--raw', '--subdir', 'DAGS_FOLDER/fetch_weather_dag.py', '--cfg-path', '/tmp/tmpm2f_fsj0']
[2025-11-27T07:00:08.120+0000] {standard_task_runner.py:105} INFO - Job 56: Subtask get_outlets
[2025-11-27T07:00:08.233+0000] {task_command.py:467} INFO - Running <TaskInstance: fetch_weather_dag.get_outlets scheduled__2025-11-27T06:00:00+00:00 [running]> on host 7fa3cbb25d21
[2025-11-27T07:00:08.396+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='fetch_weather_dag' AIRFLOW_CTX_TASK_ID='get_outlets' AIRFLOW_CTX_EXECUTION_DATE='2025-11-27T06:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-11-27T06:00:00+00:00'
[2025-11-27T07:00:08.398+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-11-27T07:00:08.405+0000] {crypto.py:82} WARNING - empty cryptography key - values will not be stored encrypted.
[2025-11-27T07:00:08.407+0000] {base.py:84} INFO - Retrieving connection '***_dbt'
[2025-11-27T07:00:08.458+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/providers/common/sql/hooks/sql.py:283 UserWarning: pandas only supports SQLAlchemy connectable (engine/connection) or database string URI or sqlite3 DBAPI2 connection. Other DBAPI2 objects are not tested. Please consider using SQLAlchemy.
[2025-11-27T07:00:08.606+0000] {python.py:240} INFO - Done. Returned value was:     outlet_id  org_id          outlet_name  latitude  longitude
0           1       2       Pizza House #1     40.76     -73.86
1           2       9      Burger Place #2      0.00       0.00
2           3       9      Pizza Corner #3     40.81     -73.91
3           4       4      Indian House #4     40.72     -73.98
4           5       3      Chinese Spot #5     40.71     -73.87
5           6       6    Burger Express #6     40.79     -73.89
6           7      10   Italian Kitchen #7     40.70     -73.85
7           8       5    Mexican Corner #8     40.82     -73.97
8           9       5     Burger Corner #9     40.73     -73.97
9          10       6       Sushi Spot #10     40.75     -73.92
10         11       2     Sushi Corner #11     40.76     -73.96
11         12       9        Thai Spot #12     40.79     -73.98
12         13       1    Mexican Place #13     40.74     -73.95
13         14      10   Mexican Corner #14     40.77     -73.88
14         15       8      Sushi House #15     40.73     -73.92
15         16      10    Chinese Place #16     40.79     -73.99
16         17       2    Pizza Express #17     40.79     -73.97
17         18       7     Burger Place #18     40.71     -73.86
18         19       9    Pizza Express #19     40.84     -73.88
19         20       6     Burger House #20     40.75     -73.99
20         21       3     Burger House #21     40.80     -73.93
21         22       3   Mexican Palace #22     40.72     -73.93
22         23      10    Mexican Diner #23      0.00       0.00
23         24       5     Thai Kitchen #24     40.71     -73.86
24         25       2   Indian Express #25     40.74     -73.90
25         26       3    Indian Palace #26     40.75     -73.92
26         27       4       Thai House #27     40.78     -73.97
27         28       8   Indian Express #28     40.85     -73.88
28         29      10      Thai Corner #29      0.00       0.00
29         30       4   Burger Kitchen #30     40.84     -73.87
30         31       5    Indian Corner #31     40.79     -73.86
31         32       4     Indian Place #32     40.71     -73.97
32         33       6    Chinese Place #33     40.71     -73.95
33         34       2      Pizza Place #34     40.76     -73.96
34         35       4    Indian Palace #35     40.82     -73.95
35         36       2   Indian Express #36      0.00       0.00
36         37       2      Thai Palace #37     40.74     -73.92
37         38       7     Pizza Palace #38     40.72     -73.88
38         39       8    Italian Place #39     40.71     -73.85
39         40       8     Sushi Corner #40     40.82     -73.97
40         41       9       Pizza Spot #41      0.00       0.00
41         42       9    Sushi Kitchen #42     40.70     -73.88
42         43       2    Burger Corner #43     40.81     -73.89
43         44      10    Pizza Express #44     40.82     -73.99
44         45       6   Italian Corner #45     40.75     -73.98
45         46       7      Sushi House #46     40.83     -73.91
46         47       9       Thai House #47     40.75     -73.99
47         48       4    Mexican House #48     40.75     -73.95
48         49      10      Pizza House #49     40.81     -73.90
49         50       3  Italian Express #50     40.83     -73.93
[2025-11-27T07:00:08.884+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2025-11-27T07:00:08.885+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=fetch_weather_dag, task_id=get_outlets, run_id=scheduled__2025-11-27T06:00:00+00:00, execution_date=20251127T060000, start_date=20251127T070008, end_date=20251127T070008
[2025-11-27T07:00:10.435+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2025-11-27T07:00:10.477+0000] {taskinstance.py:3900} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2025-11-27T07:00:10.695+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
